,file,age,gender,ethnicity,age_group
3,10_0_0_20161220222308131.jpg.chip.jpg,10,Male,White,10-14
4,10_0_0_20170103200329407.jpg.chip.jpg,10,Male,White,10-14
5,10_0_0_20170103200522151.jpg.chip.jpg,10,Male,White,10-14
6,10_0_0_20170103233459275.jpg.chip.jpg,10,Male,White,10-14
7,10_0_0_20170104013211746.jpg.chip.jpg,10,Male,White,10-14
8,10_0_0_20170110215927291.jpg.chip.jpg,10,Male,White,10-14
9,10_0_0_20170110220033115.jpg.chip.jpg,10,Male,White,10-14
10,10_0_0_20170110220111082.jpg.chip.jpg,10,Male,White,10-14
11,10_0_0_20170110220235233.jpg.chip.jpg,10,Male,White,10-14
12,10_0_0_20170110220251986.jpg.chip.jpg,10,Male,White,10-14
13,10_0_0_20170110220255346.jpg.chip.jpg,10,Male,White,10-14
14,10_0_0_20170110220316298.jpg.chip.jpg,10,Male,White,10-14
15,10_0_0_20170110220403810.jpg.chip.jpg,10,Male,White,10-14
16,10_0_0_20170110220447314.jpg.chip.jpg,10,Male,White,10-14
17,10_0_0_20170110220503946.jpg.chip.jpg,10,Male,White,10-14
18,10_0_0_20170110220514186.jpg.chip.jpg,10,Male,White,10-14
19,10_0_0_20170110220530650.jpg.chip.jpg,10,Male,White,10-14
20,10_0_0_20170110220539329.jpg.chip.jpg,10,Male,White,10-14
21,10_0_0_20170110220541850.jpg.chip.jpg,10,Male,White,10-14
22,10_0_0_20170110220546177.jpg.chip.jpg,10,Male,White,10-14
23,10_0_0_20170110220548521.jpg.chip.jpg,10,Male,White,10-14
24,10_0_0_20170110220557169.jpg.chip.jpg,10,Male,White,10-14
25,10_0_0_20170110220644705.jpg.chip.jpg,10,Male,White,10-14
26,10_0_0_20170110220654150.jpg.chip.jpg,10,Male,White,10-14
27,10_0_0_20170110221714752.jpg.chip.jpg,10,Male,White,10-14
28,10_0_0_20170110221719390.jpg.chip.jpg,10,Male,White,10-14
29,10_0_0_20170110221811823.jpg.chip.jpg,10,Male,White,10-14
30,10_0_0_20170110224223937.jpg.chip.jpg,10,Male,White,10-14
31,10_0_0_20170110224238891.jpg.chip.jpg,10,Male,White,10-14
32,10_0_0_20170110224253445.jpg.chip.jpg,10,Male,White,10-14
33,10_0_0_20170110224255796.jpg.chip.jpg,10,Male,White,10-14
34,10_0_0_20170110224402264.jpg.chip.jpg,10,Male,White,10-14
35,10_0_0_20170110224406532.jpg.chip.jpg,10,Male,White,10-14
36,10_0_0_20170110224416035.jpg.chip.jpg,10,Male,White,10-14
37,10_0_0_20170110224500062.jpg.chip.jpg,10,Male,White,10-14
38,10_0_0_20170110224524253.jpg.chip.jpg,10,Male,White,10-14
39,10_0_0_20170110224549512.jpg.chip.jpg,10,Male,White,10-14
40,10_0_0_20170110224725285.jpg.chip.jpg,10,Male,White,10-14
41,10_0_0_20170110224757882.jpg.chip.jpg,10,Male,White,10-14
